athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,experience_years,receiving_long_reception,receiving_receiving_touchdowns,receiving_receiving_yards,receiving_receptions
4427137,Daveno,Ellington,Daveno Ellington,Daveno Ellington,183,72,WR,4,31,0,254,23
4427137,Daveno,Ellington,Daveno Ellington,Daveno Ellington,183,72,WR,4,31,0,254,23
4427176,Joey,Felton,Joey Felton,Joey Felton,180,69,WR,4,38,2,97,9
4427209,Jeff,Foreman,Jeff Foreman,Jeff Foreman,186,72,WR,4,46,4,521,25
4427225,Zakhari,Franklin,Zakhari Franklin,Zakhari Franklin,185,73,WR,4,16,1,38,4
4427225,Zakhari,Franklin,Zakhari Franklin,Zakhari Franklin,185,73,WR,4,16,1,38,4
4427331,Khafre,Brown,Khafre Brown,Khafre Brown,195,72,WR,3,84,4,404,26
4427446,Braylon,Henderson,Braylon Henderson,Braylon Henderson,177,69,WR,4,52,1,260,15
4427446,Braylon,Henderson,Braylon Henderson,Braylon Henderson,177,69,WR,4,52,1,260,15
4427548,Desmond,Hutson,Desmond Hutson,Desmond Hutson,215,75,WR,2,33,2,180,19
4427569,Giles,Jackson,Giles Jackson,Giles Jackson,178,69,WR,4,26,1,106,14
4427575,Jha'Quan,Jackson,Jha'Quan Jackson,Jha'Quan Jackson,185,71,WR,4,48,4,439,26
4427601,Ali,Jennings,Ali Jennings,Ali Jennings,198,74,WR,4,44,2,72,5
4427616,Hendrix,Johnson,Hendrix Johnson,Hendrix Johnson,200,73,WR,4,60,2,393,35
4427622,Marqui,Johnson,Marqui Johnson,Marqui Johnson,163,68,WR,3,0,0,-7,3
4427634,Keegan,Jones,Keegan Jones,Keegan Jones,185,70,WR,4,26,0,77,8
4427647,Jermaine,Johnson Jr.,Jermaine Johnson Jr.,Jermaine Johnson Jr.,170,69,WR,4,12,0,15,3
4427704,Jabari,Khepera,Jabari Khepera,Jabari Khepera,195,70,WR,4,74,1,178,10
4427704,Jabari,Khepera,Jabari Khepera,Jabari Khepera,195,70,WR,4,74,1,178,10
4427773,Peter,LeBlanc,Peter LeBlanc,Peter LeBlanc,189,74,WR,4,87,4,449,29
4427789,Keyon,Lesane,Keyon Lesane,Keyon Lesane,202,71,WR,4,38,0,247,28
4427789,Keyon,Lesane,Keyon Lesane,Keyon Lesane,202,71,WR,4,38,0,247,28
4427846,Khatib,Lyles,Khatib Lyles,Khatib Lyles,215,72,WR,4,20,2,74,9
4427846,Khatib,Lyles,Khatib Lyles,Khatib Lyles,215,72,WR,4,20,2,74,9
4427909,Hezekiah,Massey,Hezekiah Massey,Hezekiah Massey,190,74,WR,4,27,0,56,4
4427912,Maurice,Massey,Maurice Massey,Maurice Massey,200,76,WR,2,33,0,94,5
4427914,D'Wan,Mathis,D'Wan Mathis,D'Wan Mathis,210,78,WR,4,9,0,12,2
4427951,Jalen,McGaughy,Jalen McGaughy,Jalen McGaughy,220,76,WR,3,20,0,50,4
4427957,Ty,McCullouch,Ty McCullouch,Ty McCullouch,180,73,WR,3,51,5,473,25
4427985,Bub,Means,Bub Means,Bub Means,215,74,WR,4,75,6,721,41
4428010,Malikhi,Miller,Malikhi Miller,Malikhi Miller,210,76,WR,3,25,1,253,21
4428025,Kris,Mitchell,Kris Mitchell,Kris Mitchell,175,73,WR,3,80,7,1118,64
4428025,Kris,Mitchell,Kris Mitchell,Kris Mitchell,175,73,WR,3,80,7,1118,64
4428063,Tre,Mosley,Tre Mosley,Tre Mosley,200,74,WR,4,30,2,288,28
4428140,Kalani,Norris,Kalani Norris,Kalani Norris,162,72,WR,3,18,1,51,10
4428163,Donovan,Ollie,Donovan Ollie,Donovan Ollie,212,75,WR,4,40,0,50,2
4428167,Justin,Olson,Justin Olson,Justin Olson,205,74,WR,3,42,1,450,43
4428167,Justin,Olson,Justin Olson,Justin Olson,205,74,WR,3,42,1,450,43
4428209,Ricky,Pearsall,Ricky Pearsall,Ricky Pearsall,190,73,WR,4,61,4,965,65
