athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,defensive_passes_defended,defensive_sacks,defensive_solo_tackles,defensive_total_tackles,defensive_interceptions_interceptions
4372022,Brandon,Bishop,Brandon Bishop,Brandon Bishop,200,72,DB,3,0,37,56,2
4372065,German,Green,German Green,German Green,190,74,DB,0,0,1,2,0
4372367,Kendarin,Ray,Kendarin Ray,Kendarin Ray,208,75,S,1,0,73,131,1
4372413,Miles,Battle,Miles Battle,Miles Battle,205,76,CB,2,0,19,28,1
4372420,Jakorey,Hawkins,Jakorey Hawkins,Jakorey Hawkins,187,71,CB,8,0,30,40,1
4372464,Jarrett,Paul,Jarrett Paul,Jarrett Paul,200,73,CB,0,0,8,11,0
4372489,Byron,Perkins,Byron Perkins,Byron Perkins,190,75,DB,0,0,5,7,1
4372527,Jordan,Moore,Jordan Moore,Jordan Moore,215,72,LB,1,1,17,27,0
4372550,Alex,Brown,Alex Brown,Alex Brown,257,74,DB,0,0,2,4,0
4372562,Alexander,Smith,Alexander Smith,Alexander Smith,187,71,CB,5,1,15,27,0
4372567,Travian,Blaylock,Travian Blaylock,Travian Blaylock,208,71,S,1,0,4,7,0
4372757,Derrik,Allen,Derrik Allen,Derrik Allen,210,74,DB,0,0,2,3,0
4372760,Noah,Boykin,Noah Boykin,Noah Boykin,185,74,DB,2,0,11,14,0
4372762,DJ,Brown,DJ Brown,DJ Brown,200,72,S,3,0,26,45,1
4373087,Lance,Robinson,Lance Robinson,Lance Robinson,180,71,DB,7,0,27,39,4
4373087,Lance,Robinson,Lance Robinson,Lance Robinson,180,71,DB,7,0,27,39,4
4373267,DeAndre,Hollins,DeAndre Hollins,DeAndre Hollins,200,73,DB,2,0,16,28,0
4373315,Marquis,Williams,Marquis Williams,Marquis Williams,180,69,DB,3,0,16,26,1
4373319,Judson,Tallandier II,Judson Tallandier II,Judson Tallandier II,180,73,DB,5,0,20,40,0
4373483,Tyrese,Ross,Tyrese Ross,Tyrese Ross,200,72,S,1,0,27,44,0
4373643,Malik,Moore,Malik Moore,Malik Moore,195,72,S,1,0,1,3,0
4373812,Bryan,Addison,Bryan Addison,Bryan Addison,198,77,DB,0,0,4,11,1
4373890,Tyrone,Legette,Tyrone Legette,Tyrone Legette,170,70,DB,8,0,17,25,1
4373896,Shawn,Dourseau,Shawn Dourseau,Shawn Dourseau,187,71,DB,0,0,9,13,0
4373899,Steven,Comstock,Steven Comstock,Steven Comstock,205,73,DB,1,0,17,27,0
4374032,Jaden,Robinson,Jaden Robinson,Jaden Robinson,190,72,DB,7,0.5,22,32,0
4374037,Kitan,Oladapo,Kitan Oladapo,Kitan Oladapo,217,73,S,6,1,36,62,2
4374064,Donte,Martin,Donte Martin,Donte Martin,193,70,CB,7,0,19,24,0
4374152,Andrew,Jenkins,Andrew Jenkins,Andrew Jenkins,187,69,S,1,0,6,10,1
4374153,Tre,Jenkins,Tre Jenkins,Tre Jenkins,219,71,S,4,0,36,62,2
4374168,Phil,Hill,Phil Hill,Phil Hill,198,72,S,3,0,24,42,3
4374189,Michael,Anyanwu,Michael Anyanwu,Michael Anyanwu,180,69,CB,5,0,21,38,0
4374201,Sam,Lockett III,Sam Lockett III,Sam Lockett III,207,73,DB,1,0.5,42,73,2
4374351,Decorian,Patterson,Decorian Patterson,Decorian Patterson,193,72,DB,2,0,13,16,0
4374499,Nicario,Harper,Nicario Harper,Nicario Harper,205,72,DB,2,0,28,48,1
4376213,Kiwon,Harris,Kiwon Harris,Kiwon Harris,210,73,S,0,0,10,22,0
4376213,Kiwon,Harris,Kiwon Harris,Kiwon Harris,210,73,S,0,0,10,22,0
4379523,Zach,Lewis,Zach Lewis,Zach Lewis,185,70,DB,5,0,30,47,1
4379523,Zach,Lewis,Zach Lewis,Zach Lewis,185,70,DB,5,0,30,47,1
4382464,Michael,Dowell,Michael Dowell,Michael Dowell,221,73,DB,5,0,33,62,2
4382465,Chris,Jackson,Chris Jackson,Chris Jackson,195,72,DB,1,0,1,4,0
4382467,Davion,Williams,Davion Williams,Davion Williams,180,72,DB,2,0,17,26,1
4382688,Glenn,Brown,Glenn Brown,Glenn Brown,189,71,CB,3,0,6,11,0
4383167,Clayton,Isbell,Clayton Isbell,Clayton Isbell,220,74,S,5,1,47,86,3
4383391,Jayden,Price,Jayden Price,Jayden Price,184,72,CB,3,1,32,44,2
4383407,Bartholomew,Ogbu,Bartholomew Ogbu,Bartholomew Ogbu,250,75,DL,0,0,6,11,0
4383608,Ken,Garlington,Ken Garlington,Ken Garlington,185,69,DB,4,0,9,12,0
4383611,Josh,Green,Josh Green,Josh Green,195,71,S,5,0,33,46,2
4383657,Malcolm,Spencer,Malcolm Spencer,Malcolm Spencer,205,75,DB,3,0,19,39,3
4383664,Jordan,Carter,Jordan Carter,Jordan Carter,195,71,DB,5,0,36,53,4
4383665,Demetri,Morsell,Demetri Morsell,Demetri Morsell,180,71,CB,5,0,21,27,0
4384191,Brodrick,Calhoun,Brodrick Calhoun,Brodrick Calhoun,197,70,DB,0,0,7,14,0
4384547,Demarkiis,Doe,Demarkiis Doe,Demarkiis Doe,200,75,DB,0,0,6,10,0
