athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,general_fumbles_forced,defensive_sacks,defensive_solo_tackles,defensive_total_tackles,defensive_sack_yards
5102758,Max,Stege,Max Stege,Max Stege,281,76,DT,0,0.5,1,2,1
5102931,Anthony,Bynum,Anthony Bynum,Anthony Bynum,258,75,DL,0,0,2,2,0
5103176,Ken,Talley,Ken Talley,Ken Talley,245,75,DL,0,0,2,5,0
5103940,Skyler,Gill-Howard,Skyler Gill-Howard,Skyler Gill-Howard,285,73,DT,0,0.5,12,21,0
5109627,Antoine,Baylis,Antoine Baylis,Antoine Baylis,270,74,DL,1,3.5,18,24,16
5109813,Alex,Bray,Alex Bray,Alex Bray,260,76,DL,0,0,1,2,0
5110490,Toddrick,Brewton,Toddrick Brewton,Toddrick Brewton,234,75,DE,0,0,3,8,0
5113020,John,Norwood,John Norwood,John Norwood,207,75,DL,0,1,3,6,11
5116973,Rylan,Kennedy,Rylan Kennedy,Rylan Kennedy,220,76,DL,0,0,1,4,0
5118341,Khalil,Laufau,Khalil Laufau,Khalil Laufau,286,75,DT,0,0,4,12,0
5121605,Mekhi,Buchanan,Mekhi Buchanan,Mekhi Buchanan,220,77,DE,0,0,10,20,0
5121764,Lance,Williams,Lance Williams,Lance Williams,240,75,DL,0,0,0,2,0
5121775,Elijah,Hughes,Elijah Hughes,Elijah Hughes,270,75,DL,0,0,2,3,0
5121889,Sam,Benjamin,Sam Benjamin,Sam Benjamin,285,77,DL,0,0,2,5,0
5121933,Aidan,Swartz,Aidan Swartz,Aidan Swartz,270,76,DT,0,0,4,4,0
5122065,Vaka,Hansen,Vaka Hansen,Vaka Hansen,323,72,DL,0,0,0,2,0
5122104,Jordan,Norman,Jordan Norman,Jordan Norman,239,75,DL,0,1.5,2,4,11
5122111,Deshaun,Batiste,Deshaun Batiste,Deshaun Batiste,261,74,DE,0,0,2,5,0
5122153,Eliyt,Nairne,Eliyt Nairne,Eliyt Nairne,295,73,DT,0,2,2,3,12
5125729,R.J.,Jackson,R.J. Jackson,R.J. Jackson,240,76,DL,0,0,1,4,0
5125741,Tyler,Rich,Tyler Rich,Tyler Rich,290,75,DL,0,0,1,2,0
5150134,Elijah,O'Neal,Elijah O'Neal,Elijah O'Neal,245,76,DL,0,0.5,6,11,9
5150508,Isaiah,Green,Isaiah Green,Isaiah Green,300,74,DL,0,2,12,26,22
5150509,Marcel,Tyler,Marcel Tyler,Marcel Tyler,270,76,DL,0,0,3,6,0
5150632,Brooks,Maile,Brooks Maile,Brooks Maile,315,75,DL,0,0,3,5,0
5150836,Jaden,Jones,Jaden Jones,Jaden Jones,252,77,DL,0,0,0,3,0
5150879,Quaylen,Hill,Quaylen Hill,Quaylen Hill,310,71,DL,0,0,0,7,0
5150929,Quin,Warren,Quin Warren,Quin Warren,315,74,DL,0,0,1,4,0
5150990,Tysheik,Galloway,Tysheik Galloway,Tysheik Galloway,300,72,DT,0,1,2,4,10
5150994,Ezekiel,Durham-Campbell,Ezekiel Durham-Campbell,Ezekiel Durham-Campbell,245,78,DE,0,0,3,15,0
5150999,David,Blay,David Blay,David Blay,280,74,DL,0,0,4,16,0
5151040,Jonathan,Wallace,Jonathan Wallace,Jonathan Wallace,394,75,DL,0,1,5,21,5
5151121,Justin,Rhodes,Justin Rhodes,Justin Rhodes,280,72,DL,1,1.5,15,29,13
5151138,Ricardo,Williams Jr.,Ricardo Williams Jr.,Ricardo Williams Jr.,290,74,DL,0,0,3,4,0
5151177,KD,Johnson,KD Johnson,KD Johnson,300,73,DL,0,0,13,22,0
5151186,Chase,Bibler,Chase Bibler,Chase Bibler,260,76,DL,0,0,1,2,0
5151188,Dimitri,Madden,Dimitri Madden,Dimitri Madden,287,75,DL,0,0,1,2,0
5151195,Kanious,Vaughn,Kanious Vaughn,Kanious Vaughn,223,74,DE,2,6,14,19,47
5151209,Chris,Murray,Chris Murray,Chris Murray,255,75,DL,0,1,13,15,9
5151272,Jordan,Campbell,Jordan Campbell,Jordan Campbell,250,75,DE,0,1,1,6,7
5151341,Gafa,Faga,Gafa Faga,Gafa Faga,296,74,DL,0,0,3,6,0
5151343,Quincy,Likio,Quincy Likio,Quincy Likio,285,73,DL,0,0,6,9,0
5151381,Devonyal,Lofton,Devonyal Lofton,Devonyal Lofton,NA,74,DE,0,1,11,19,7
5151418,Dupre,Mendoza,Dupre Mendoza,Dupre Mendoza,305,76,DL,0,2.5,4,10,4
5151420,Kavika,Baumgartner,Kavika Baumgartner,Kavika Baumgartner,283,74,DL,0,0,6,13,0
5151421,Ezra,Christensen,Ezra Christensen,Ezra Christensen,265,74,DL,0,0.5,3,8,4
5151516,Nevaeh,Sanders,Nevaeh Sanders,Nevaeh Sanders,220,76,DE,1,2,3,3,27
5151611,Hunter,Rapolla,Hunter Rapolla,Hunter Rapolla,251,75,DL,0,1.5,4,20,14
