Player,Pos.,2023 Team,2024 Team,Type,Snaps,Age,Current APY,Guarantees
Easton Stick,QB,Chargers,,UFA,27.60%,29,"$1,800,000 ","$1,152,500 "
Zach Cunningham,LB,Eagles,,UFA,61.70%,30,"$1,775,000 ","$14,000 "
Scott Quessenberry,C,Texans,,UFA,0.00%,29,"$1,775,000 ","$1,425,000 "
Trent Sherfield,WR,Bills,,UFA,33.70%,28,"$1,770,000 ","$750,000 "
Damien Harris,RB,Bills,,UFA,5.20%,27,"$1,770,000 ","$1,000,000 "
DeShon Elliott,S,Dolphins,,UFA,84.00%,27,"$1,770,000 ","$1,770,000 "
Harrison Bryant,TE,Browns,,UFA,32.70%,26,"$1,750,000 ","$1,750,000 "
DeShawn Williams,IDL,Panthers,,UFA,42.10%,32,"$1,750,000 ","$1,750,000 "
Jordan Elliott,IDL,Browns,,UFA,41.80%,27,"$1,700,000 ","$1,500,000 "
Ross Dwelley,TE,49ers,,UFA,7.10%,29,"$1,700,000 ","$700,000 "
Geoff Swaim,TE,Cardinals,,UFA,29.70%,31,"$1,700,000 ","$450,000 "
Neville Hewitt,LB,Texans,,UFA,0.30%,31,"$1,700,000 ","$300,000 "
Marquise Goodwin,WR,Browns,,UFA,9.80%,34,"$1,700,000 ","$400,000 "
Darrell Taylor,EDGE,Seahawks,,RFA,32.10%,27,"$1,691,128 ","$4,007,122 "
Corey Bojorquez,P,Browns,,UFA,29.40%,28,"$1,690,000 ","$1,500,000 "
Carlos Watkins,IDL,Cardinals,,UFA,3.90%,31,"$1,670,000 ","$250,000 "
Chase Claypool,WR,Dolphins,,UFA,17.30%,26,"$1,654,159 ","$3,892,856 "
Billy Turner,RT,Jets,,UFA,18.90%,33,"$1,650,000 ","$1,000,000 "
Mack Wilson,LB,Patriots,,UFA,26.80%,26,"$1,600,000 ","$575,000 "
Nate Sudfeld,QB,Lions,,UFA,0.00%,31,"$1,600,000 ","$1,000,000 "
Kyle Van Noy,EDGE,Ravens,,UFA,41.90%,33,"$1,600,000 ","$1,400,000 "
Greg Van Roten,RG,Raiders,,UFA,98.00%,34,"$1,600,000 ","$907,500 "
Eli Apple,CB,Dolphins,,UFA,49.90%,29,"$1,600,000 ","$500,000 "
Justin Evans,S,Eagles,,UFA,17.00%,29,"$1,590,000 ","$600,000 "
Shaquille Leonard,LB,Eagles,,UFA,53.00%,29,"$1,583,333 ",$0 
Julio Jones,WR,Eagles,,UFA,20.10%,35,"$1,567,000 ",$0 
Adam Butler,IDL,Raiders,,UFA,45.70%,30,"$1,550,000 ","$485,800 "
Cam Akers,RB,Vikings,,RFA,12.30%,25,"$1,543,261 ","$3,550,077 "
Jakeem Grant,WR,Browns,,UFA,0.00%,32,"$1,512,500 ",$0 
Jihad Ward,EDGE,Giants,,UFA,58.70%,30,"$1,500,000 ","$500,000 "
Rudy Ford,S,Packers,,UFA,50.90%,30,"$1,500,000 ","$50,000 "
Dare Ogunbowale,RB,Texans,,UFA,9.50%,30,"$1,500,000 ","$550,000 "
Josh Tupou,IDL,Bengals,,UFA,26.20%,30,"$1,500,000 ","$300,000 "
Antonio Hamilton,CB,Cardinals,,UFA,50.50%,31,"$1,500,000 ","$1,500,000 "
DeAndre Carter,WR,Raiders,,UFA,9.80%,31,"$1,500,000 ","$1,255,000 "
Khaleke Hudson,LB,Commanders,,UFA,34.70%,27,"$1,500,000 ","$300,000 "
Adam Trautman,TE,Broncos,,UFA,70.40%,27,"$1,500,000 ","$1,500,000 "
J.K. Dobbins,RB,Ravens,,UFA,2.70%,26,"$1,432,360 ","$3,207,293 "
Justin Pugh,LG,Giants,,UFA,69.20%,34,"$1,430,000 ","$260,000 "
Trystan Colon,LG,Cardinals,,UFA,28.50%,26,"$1,410,000 ","$250,000 "
Van Jefferson,WR,Falcons,,UFA,54.60%,28,"$1,402,785 ","$3,115,880 "
Aaron Stinnie,LG,Buccaneers,,UFA,65.10%,30,"$1,400,000 ",$0 
Iosua Opeta,LG,Eagles,,UFA,45.90%,28,"$1,400,000 ","$175,000 "
Matt Breida,RB,Giants,,UFA,26.10%,29,"$1,400,000 ","$500,000 "
Rashaad Penny,RB,Eagles,,UFA,2.70%,28,"$1,350,000 ","$600,000 "
Kareem Hunt,RB,Browns,,UFA,27.30%,29,"$1,350,000 ","$500,000 "
Kristian Fulton,CB,Titans,,UFA,44.00%,26,"$1,332,549 ","$2,898,786 "
A.J. Dillon,RB,Packers,,UFA,45.10%,26,"$1,321,458 ","$2,760,240 "
"Willie Gay, Jr.",LB,Chiefs,,UFA,57.40%,26,"$1,317,762 ","$2,853,081 "
Blaine Gabbert,QB,Chiefs,,UFA,7.00%,35,"$1,317,500 ","$1,092,500 "
Trai Turner,RG,Saints,,UFA,0.00%,31,"$1,317,500 ","$152,500 "
Jerick McKinnon,RB,Chiefs,,UFA,23.40%,32,"$1,317,500 ","$1,092,500 "
Markus Golden,EDGE,Steelers,,UFA,20.40%,33,"$1,317,500 ","$152,500 "
Sterling Shepard,WR,Giants,,UFA,12.90%,31,"$1,317,500 ",$0 
Kwon Alexander,LB,Steelers,,UFA,32.10%,30,"$1,317,500 ","$152,500 "
Casey Kreiter,LS,Giants,,UFA,33.60%,34,"$1,317,500 ","$352,500 "
Chris Moore,WR,Titans,,UFA,56.80%,31,"$1,317,500 ","$1,000,000 "
Mario Edwards Jr.,IDL,Seahawks,,UFA,33.00%,30,"$1,317,500 ","$152,500 "
